AWA,Theta,CX_rig,CY_rig,CK_rig,CN_rig,q,CX,CY,CK,CN,Drag,Lift
0,0,0,0,0,0,0,-0.743243243,,,,0,0
5,0,0,0,0,0,0,-0.720874383,0.041540785,0.025911214,0.000225575,0,0
10,0,0,0,0,0,0,-0.698505523,0.078765645,0.072345434,0.001332754,0,0
15,0,0,0,0,0,0,-0.731881435,0.114907803,0.148614023,0.004340659,0,0
20,0,0,0,0,0,0,-0.76532673,0.150849047,0.226872499,0.007606838,0,0
25,0,0,0,0,0,0,-0.70940458,0.184496018,0.284619783,0.005470647,0,0
30,0,0,0,0,0,0,-0.65348243,0.217659984,0.457023061,0.002467265,0,0
35,0,0,0,0,0,0,-0.404176498,1.193834112,2.92732355,0.066285443,0,0
40,0,0,0,0,0,0,-0.144735645,2.259818731,5.363304604,0.13668973,0,0
45,0,0,0,0,0,0,0.678235053,2.39444864,5.667190776,0.123234811,0,0
50,0,0,0,0,0,0,1.502903766,2.52907855,5.941788959,0.099583175,0,0
55,0,0,0,0,0,0,2.349256584,2.536611544,5.924143955,0.081108398,0,0
60,0,0,0,0,0,0,3.194762559,2.53204007,5.906498952,0.062962963,0,0
65,0,0,0,0,0,0,4.005159821,2.412702554,5.630646083,0.041127391,0,0
70,0,0,0,0,0,0,4.815557083,2.284474371,5.341909663,0.018977447,0,0
75,0,0,0,0,0,0,5.419238683,2.138729582,4.983265948,8.14E-06,0,0
80,0,0,0,0,0,0,6.003206596,1.992984792,4.624064091,-0.018863112,0,0
85,0,0,0,0,0,0,6.392197282,1.796085309,4.131750163,-0.037734364,0,0
90,0,0,0,0,0,0,6.781187968,1.597342414,3.638906962,-0.056605617,0,0
95,0,0,0,0,0,0,6.916302078,1.404754333,3.147274633,-0.067513779,0,0
100,0,0,0,0,0,0,7.037209623,1.212752425,2.65573525,-0.077847451,0,0
105,0,0,0,0,0,0,7.161994584,1.019650484,2.146563342,-0.089213155,0,0
110,0,0,0,0,0,0,7.287220256,0.826466299,1.636118598,-0.100635855,0,0
115,0,0,0,0,0,0,7.307581705,0.639728097,1.125063255,-0.11125424,0,0
120,0,0,0,0,0,0,7.318766135,0.453603798,0.613966602,-0.121778592,0,0
125,0,0,0,0,0,0,7.165145056,0.275043727,0.135440803,-0.131304647,0,0
130,0,0,0,0,0,0,6.994382776,0.096756241,-0.338188238,-0.140690217,0,0
135,0,0,0,0,0,0,7.605446355,0.057870612,-0.379622642,-0.137434589,0,0
140,0,0,0,0,0,0,8.277732278,-0.139181165,-0.89696405,-0.133773694,0,0
145,0,0,0,0,0,0,7.671421421,-0.318887384,-1.318839008,-0.144482476,0,0
150,0,0,0,0,0,0,7.044714206,-0.49681101,-1.738668402,-0.155191257,0,0
155,0,0,0,0,0,0,6.348935142,-0.574018127,-1.940938336,-0.157135959,0,0
160,0,0,0,0,0,0,5.645473059,-0.644858839,-2.123472855,-0.158852259,0,0
165,0,0,0,0,0,0,4.977654541,-0.676307428,-2.191823899,-0.126190476,0,0
170,0,0,0,0,0,0,4.316084953,-0.6727431,-2.239946636,-0.093528694,0,0
175,0,0,0,0,0,0,3.462967278,-0.416585591,-1.505690326,-0.065965425,0,0
180,0,0,0,0,0,0,2.605622864,,-0.673854447,-0.038479553,0,0
185,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0,0,0,0
