AWA,Theta,CX_rig,CY_rig,CK_rig,CN_rig,q,CX,CY,CK,CN,Drag,Lift
0,0,0,0,0,0,0,-0.788288288,,,,0,0
5,0,0,0,0,0,0,-0.743550568,0.041775185,0.015999117,-0.001218966,0,0
10,0,0,0,0,0,0,-0.698812848,0.077716429,0.071720181,-0.00013024,0,0
15,0,0,0,0,0,0,-0.732493857,0.110470663,0.139471232,0.002974612,0,0
20,0,0,0,0,0,0,-0.763307951,0.142470981,0.208080808,0.006353417,0,0
25,0,0,0,0,0,0,-0.706387191,0.17992615,0.27545264,0.004193484,0,0
30,0,0,0,0,0,0,-0.634719541,0.218529708,0.454998916,0.001610066,0,0
35,0,0,0,0,0,0,-0.350115741,1.182909678,2.882708017,0.066109339,0,0
40,0,0,0,0,0,0,-0.024410375,2.198249818,5.310417118,0.134593722,0,0
45,0,0,0,0,0,0,0.736130868,2.398764566,5.656359189,0.123346829,0,0
50,0,0,0,0,0,0,1.503701978,2.53835779,5.942384154,0.098898243,0,0
55,0,0,0,0,0,0,2.361046391,2.545200021,5.924130702,0.080034595,0,0
60,0,0,0,0,0,0,3.215847426,2.549692676,5.90587725,0.061526252,0,0
65,0,0,0,0,0,0,3.965204239,2.477988779,5.813895325,0.044505495,0,0
70,0,0,0,0,0,0,4.714670811,2.404197806,5.721026886,0.027611469,0,0
75,0,0,0,0,0,0,5.475212054,2.367626014,5.59731275,0.010911681,0,0
80,0,0,0,0,0,0,6.235753297,2.327717753,5.472193634,-0.005782119,0,0
85,0,0,0,0,0,0,6.673219272,2.19522249,5.166445989,-0.019713743,0,0
90,0,0,0,0,0,0,7.109412044,2.062727226,4.859980139,-0.033504274,0,0
95,0,0,0,0,0,0,7.538217096,1.930155828,4.526646806,-0.048648759,0,0
100,0,0,0,0,0,0,7.966889303,1.797583082,4.192320424,-0.063890924,0,0
105,0,0,0,0,0,0,8.271731553,1.590007169,3.648672257,-0.074983961,0,0
110,0,0,0,0,0,0,8.567719505,1.382431256,3.090073191,-0.085686692,0,0
115,0,0,0,0,0,0,8.816030943,1.152064451,2.551436243,-0.096560847,0,0
120,0,0,0,0,0,0,9.062088404,0.921194122,2.012799294,-0.107448107,0,0
125,0,0,0,0,0,0,8.939740179,0.700368682,1.419765346,-0.114371184,0,0
130,0,0,0,0,0,0,8.794342588,0.475495133,0.825407334,-0.120903541,0,0
135,0,0,0,0,0,0,8.518755825,0.042634649,-0.337176799,-0.13232285,0,0
140,0,0,0,0,0,0,8.031900949,-0.145744348,-0.843745632,-0.137063058,0,0
145,0,0,0,0,0,0,7.523408825,-0.329943223,-1.273375262,-0.145987043,0,0
150,0,0,0,0,0,0,7.014916702,-0.508109397,-1.696855346,-0.154911027,0,0
155,0,0,0,0,0,0,6.302080589,-0.576681507,-1.908226704,-0.157135717,0,0
160,0,0,0,0,0,0,5.575092636,-0.642941267,-2.109014675,-0.157800063,0,0
165,0,0,0,0,0,0,4.951917827,-0.678273337,-2.175460051,-0.126387638,0,0
170,0,0,0,0,0,0,4.337587588,-0.708216444,-2.22447395,-0.094975213,0,0
175,0,0,0,0,0,0,3.470773405,-0.433683103,-1.450457906,-0.066149293,0,0
180,0,0,0,0,0,0,2.598387862,,-0.642502483,,0,0
185,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0,0,0,0
