AWA,Theta,CX_rig,CY_rig,CK_rig,CN_rig,q,CX,CY,CK,CN,Drag,Lift
0,0,0,0,0,0,0,-0.788288288,,0.018867925,,0,0
5,0,0,0,0,0,0,-0.74275168,0.038063861,0.046728456,-0.001395529,0,0
10,0,0,0,0,0,0,-0.698698699,0.069512449,0.074588988,0.00044977,0,0
15,0,0,0,0,0,0,-0.721880972,0.101869335,0.140708977,0.002920055,0,0
20,0,0,0,0,0,0,-0.739730959,0.134441088,0.208221024,0.005503473,0,0
25,0,0,0,0,0,0,-0.694993239,0.179758308,0.293295148,0.003952733,0,0
30,0,0,0,0,0,0,-0.596377628,0.227135402,0.412004855,0.001738375,0,0
35,0,0,0,0,0,0,0.280202077,1.455984998,3.328073853,0.003809381,0,0
40,0,0,0,0,0,0,1.157764908,2.749869778,6.244142852,0.006483445,0,0
45,0,0,0,0,0,0,2.045728764,2.818611862,6.234626136,-0.000966275,0,0
50,0,0,0,0,0,0,2.921820125,2.795754492,6.161572695,-0.008840877,0,0
55,0,0,0,0,0,0,3.699801496,2.735956782,6.012983192,-0.015483951,0,0
60,0,0,0,0,0,0,4.476001425,2.674125659,5.861524881,-0.022154166,0,0
65,0,0,0,0,0,0,5.178345719,2.557587072,5.592206407,-0.030007273,0,0
70,0,0,0,0,0,0,5.880690012,2.433022684,5.322887933,-0.037860379,0,0
75,0,0,0,0,0,0,6.566497053,2.278444877,4.977015437,-0.047564313,0,0
80,0,0,0,0,0,0,7.245338559,2.123867069,4.627340418,-0.057387057,0,0
85,0,0,0,0,0,0,7.742382213,1.94416085,4.180130847,-0.07045177,0,0
90,0,0,0,0,0,0,8.239425867,1.764454631,3.732921275,-0.083516484,0,0
95,0,0,0,0,0,0,8.578411,1.571504844,3.242961965,-0.099484466,0,0
100,0,0,0,0,0,0,8.908551409,1.378320658,2.751422582,-0.115452449,0,0
105,0,0,0,0,0,0,9.168082556,1.158456654,2.22327044,-0.132293513,0,0
110,0,0,0,0,0,0,9.425324447,0.937631215,1.693920335,-0.149151207,0,0
115,0,0,0,0,0,0,9.580819456,0.680513595,1.136998353,-0.163802488,0,0
120,0,0,0,0,0,0,9.729984222,0.420564642,0.579290207,-0.178195815,0,0
125,0,0,0,0,0,0,9.751594815,0.168975935,0.040356394,-0.189565613,0,0
130,0,0,0,0,0,0,9.773205409,-0.073939994,-0.498120437,-0.200637404,0,0
135,0,0,0,0,0,0,9.69322771,-0.159300448,-0.70754717,-0.182013389,0,0
140,0,0,0,0,0,0,9.556779001,-0.250130222,-0.883997205,-0.190220763,0,0
145,0,0,0,0,0,0,9.355091699,-0.492733618,-1.434703246,-0.192243251,0,0
150,0,0,0,0,0,0,9.150176963,-0.735567152,-1.991433529,-0.194057794,0,0
155,0,0,0,0,0,0,8.813436281,-0.991403461,-2.531884887,-0.193422031,0,0
160,0,0,0,0,0,0,8.472696835,-1.235331531,-3.070859539,-0.192643301,0,0
165,0,0,0,0,0,0,8.018700519,-1.377047225,-3.388907947,-0.184433235,0,0
170,0,0,0,0,0,0,7.555055055,-1.421398945,-3.696893463,-0.17622317,0,0
175,0,0,0,0,0,0,7.14713636,-0.763339137,-2.070899299,-0.132987038,0,0
180,0,0,0,0,0,0,6.740447344,,-0.437215355,-0.087961756,0,0
185,0,0,0,0,0,0,0,0,0,0,0,0
190,0,0,0,0,0,0,0,0,0,0,0,0
195,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,0,0,0,0,0,0,0,0,0,0
210,0,0,0,0,0,0,0,0,0,0,0,0
215,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0,0,0,0,0,0,0,0,0,0,0
225,0,0,0,0,0,0,0,0,0,0,0,0
230,0,0,0,0,0,0,0,0,0,0,0,0
235,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,0,0,0,0,0,0,0,0,0,0
245,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,0,0,0,0,0,0,0,0,0,0
255,0,0,0,0,0,0,0,0,0,0,0,0
260,0,0,0,0,0,0,0,0,0,0,0,0
265,0,0,0,0,0,0,0,0,0,0,0,0
270,0,0,0,0,0,0,0,0,0,0,0,0
275,0,0,0,0,0,0,0,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,0,0
285,0,0,0,0,0,0,0,0,0,0,0,0
290,0,0,0,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,0,0,0,0,0,0,0,0,0,0
305,0,0,0,0,0,0,0,0,0,0,0,0
310,0,0,0,0,0,0,0,0,0,0,0,0
315,0,0,0,0,0,0,0,0,0,0,0,0
320,0,0,0,0,0,0,0,0,0,0,0,0
325,0,0,0,0,0,0,0,0,0,0,0,0
330,0,0,0,0,0,0,0,0,0,0,0,0
335,0,0,0,0,0,0,0,0,0,0,0,0
340,0,0,0,0,0,0,0,0,0,0,0,0
345,0,0,0,0,0,0,0,0,0,0,0,0
350,0,0,0,0,0,0,0,0,0,0,0,0
355,0,0,0,0,0,0,0,0,0,0,0,0
