AWA	Theta	Fx_rig	Fy_rig	Mx_rig	Mz_rig	Betz	Fx	Fy	Mx	Mz	Drag	Lift
-90	72	-9933.2962	-37922.429	240398.898	-199266.6377	37.40986083	-1.972119332	-7.528976669	47.72789459	-39.56165007	7.528976669	-1.972119332
-75	63	-14582.9523	-58791.487	423388.1719	-118795.8555	58.04070467	-1.866116168	-7.523287617	54.17911934	-15.20178233	6.783951403	-3.749699919
-60	48	-12713.1693	-87113.68	741187.8613	50228.10352	85.88845945	-1.099372615	-7.533164382	64.09429606	4.343480385	5.974225418	-4.718666803
-45	35	3398.958	-99664.04	1031010.167	178676.5703	117.6618816	0.214553649	-6.291129076	65.08082594	11.27866547	4.600212372	-4.296787691
-30	18	19613.983	-110939.72	1295060.226	575182.7246	147.4338894	0.988085142	-5.588762315	65.24068912	28.97573146	3.650087992	-4.345967569
-25	12	26019.548	-105852.3	1311716.127	674089.7676	155.7449507	1.240828241	-5.047917174	62.55352377	32.14620102	3.257914279	-4.050569969
-20	10	32986.192	-90532.76	1166994.53	730710.5098	162.8868327	1.504084033	-4.12805694	53.21189667	33.31848705	2.825255294	-3.364677608
0	19.5	51234.851	30032.852	-565327.6382	-753024.7236	176.352338	2.157794853	1.264856483	-23.80920495	-31.71421095	2.157794853	1.264856483
10	0	40698.943	70738.139	-987665.1973	-766823.4777	172.8929472	1.748363575	3.038800923	-42.42856761	-32.94154928	2.249484246	2.689034561
20	-8	30812.203	98460.42	-1258184.706	-676151.4395	162.8868327	1.404955824	4.48953749	-57.36993005	-30.83073622	2.855738876	3.738262058
25	-13	23055.041	110050.12	-1330123.962	-458532.4805	155.6967638	1.099796188	5.249728356	-63.45099378	-21.87340609	3.215384922	4.293075736
27.5	-15	18475.673	116550.89	-1369354.521	-375124.8809	151.6881966	0.904637062	5.706761245	-67.04864557	-18.36749708	3.437511965	4.644244138
30	-18	15160.349	118103.597	-1365835.175	-335018.9629	147.4338894	0.763726348	5.949653849	-68.80608814	-16.87710546	3.636233343	4.770688203
35	-25	9076.918	118288.705	-1323993.52	-178318.3516	138.14251	0.488019265	6.359776177	-71.18433196	-9.58726198	4.047579734	4.929707306
45	-35	-283.499	110861.66	-1171316.732	141718.1465	117.6618816	-0.017895409	6.997960475	-73.93744778	8.94572558	4.935651341	4.960959272
60	-50	-15488.6491	89018.138	-837455.7769	289365.7959	85.88845945	-1.339382514	7.697852582	-72.4190739	25.02293678	5.996844634	5.008865573
75	-63	-16769.08893	58314.793	-484144.2881	358621.394	58.04070467	-2.145866443	7.462287185	-61.95381191	45.89120008	6.652624812	4.004129861
90	-72	-11667.64235	32502.966	-242037.0841	288928.196	37.40986083	-2.316449904	6.453016833	-48.05313392	57.36271922	6.453016833	2.316449904
120	-102	-56590.226	98616.019	-514917.0459	2964200.66	164.6096738	-2.553359532	4.449569651	-23.23313477	133.7451809	5.13012012	-0.013510606
135	-115	-59673.306	56496.695	-156991.7324	2685821.279	143.2032072	-3.094947251	2.930192788	-8.142353143	139.2997262	4.260417379	0.116498998
150	-90	-54946.151	44168.535	-300206.9575	1853228.988	128.8744951	-3.166621786	2.545493045	-17.3013373	106.8041197	4.015121433	-0.621150749
180	-100	-41455.321	-5374.335	121251.0239	180742.8535	118.0540444	-2.608106425	-0.338119144	7.628347024	11.37119642	2.608106425	0.338119144
