AWA	Theta	Fx_rig	Fy_rig	Mx_rig	Mz_rig	Betz	Fx	Fy	Mx	Mz	Drag	Lift
-90	72	346.745	-29353.1	175618.6719	-259900.0313	37.40986083	0.06884145	-5.827654264	34.86667173	-51.59957637	5.827654264	0.06884145
-75	63	928.034	-50861.4	319523.75	-358019.0313	58.04070467	0.118756423	-6.508509315	40.8880468	-45.81411837	6.317473662	-1.56981627
-60	48	7913.57	-71795.3	482592.8125	-457294.4375	85.88845945	0.684326775	-6.208505906	41.73226279	-39.54458322	5.718887221	-2.511608581
-45	35	21103.4	-83957.2	604921.4375	-717372.625	117.6198598	1.332593439	-5.30155396	38.19831584	-45.29914863	4.691050613	-2.806478899
-30	18	33108.1	-76105.8	554112.5	-527068.25	147.4338894	1.667872441	-3.833948986	27.91428587	-26.55188938	3.361394397	-2.486360998
-25	12	35884.1	-67193	491234.6563	-519774.75	155.6967638	1.711781662	-3.205312247	23.4334002	-24.79485024	2.90602454	-2.181569259
-20	10	39233.4	-50457.4	370205.5938	-324853.4063	162.8868327	1.78894037	-2.300725398	16.88040628	-14.81246521	2.467948495	-1.550121037
0	19.5	41024.4	1446.72	-13275.2334	28949.55469	176.352338	1.727773916	0.060929717	-0.559096586	1.21923259	1.727773916	0.060929717
20	-8	39233.4	50457.4	-370205.5938	324853.4063	162.8868327	1.78894037	2.300725398	-16.88040628	14.81246521	2.467948495	1.550121037
25	-13	35884.1	67193	-491234.6563	519774.75	155.6967638	1.711781662	3.205312247	-23.4334002	24.79485024	2.90602454	2.181569259
30	-18	33108.1	76105.8	-554112.5	527068.25	147.4338894	1.667872441	3.833948986	-27.91428587	26.55188938	3.361394397	2.486360998
45	-35	21103.4	83957.2	-604921.4375	717372.625	117.6198598	1.332593439	5.30155396	-38.19831584	45.29914863	4.691050613	2.806478899
60	-50	7913.57	71795.3	-482592.8125	457294.4375	85.88845945	0.684326775	6.208505906	-41.73226279	39.54458322	5.718887221	2.511608581
75	-63	928.034	50861.4	-319523.75	358019.0313	58.04070467	0.118756423	6.508509315	-40.8880468	45.81411837	6.317473662	1.56981627
90	-72	346.745	29353.1	-175618.6719	259900.0313	37.40986083	0.06884145	5.827654264	-34.86667173	51.59957637	5.827654264	-0.06884145
120	-102	-242.543	9922.97	-68803.03125	196050.2344	16.29072838	-0.110579377	4.524046631	-31.36844329	89.38255405	3.973228999	-2.166258766
135	-115	-1203.75	5321.96	-37234.07031	136687.3281	11.89013897	-0.751926285	3.324379325	-23.25838103	85.3821764	2.882383339	-1.818998989
150	-90	-2202.82	2707.19	-18546.93555	112581.7031	9.490619915	-1.723893083	2.118605294	-14.51454676	88.10471089	2.55223785	-0.972819464
180	-100	-1875.59	-137.886	1091.786011	2418.048828	7.935045512	-1.755554772	-0.129061482	1.02191318	2.263296967	1.755554772	0.129061482
